,Id,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag
242067,242068,3658410,29,3,single,rented,no,Civil_engineer,Ajmer,Rajasthan,3,12,0
44060,44061,6837002,74,15,single,rented,yes,Physician,Tiruvottiyur,Tamil_Nadu,14,10,0
10404,10405,8808852,56,16,single,rented,no,Web_designer,Jhansi,Uttar_Pradesh,3,14,1
188732,188733,5062611,66,12,single,rented,no,Civil_engineer,Anantapuram[24],Andhra_Pradesh,3,11,0
37169,37170,3391399,72,0,single,rented,no,Flight_attendant,Guntakal,Andhra_Pradesh,0,11,0
186315,186316,3640062,37,10,single,rented,no,Design_Engineer,Miryalaguda,Telangana,10,13,0
144895,144896,6011488,41,2,single,rented,no,Air_traffic_controller,Berhampore,West_Bengal,2,12,1
120598,120599,957493,72,14,single,rented,no,Aviator,Satara,Maharashtra,9,14,0
58277,58278,1989746,43,12,single,rented,yes,Physician,Siliguri,West_Bengal,4,14,0
112042,112043,2024262,62,3,single,rented,yes,Microbiologist,Pimpri-Chinchwad,Maharashtra,3,12,1
131914,131915,1915161,62,16,single,rented,no,Petroleum_Engineer,Salem,Tamil_Nadu,9,10,0
4783,4784,7462954,29,2,single,rented,yes,Web_designer,Munger,Bihar,2,11,0
105609,105610,7784617,53,7,married,rented,no,Biomedical_Engineer,Rajahmundry[19][20],Andhra_Pradesh,6,13,0
16516,16517,5331462,57,20,single,rented,yes,Artist,Mehsana,Gujarat,8,14,0
141610,141611,2790693,36,18,single,rented,yes,Mechanical_engineer,Dehri[30],Bihar,10,12,0
37368,37369,6195911,24,11,single,rented,no,Politician,Hazaribagh,Jharkhand,9,13,0
153903,153904,3671933,78,18,single,rented,no,Financial_Analyst,Ambala,Haryana,12,12,0
82166,82167,9739506,38,19,single,rented,no,Fashion_Designer,Dehri[30],Bihar,13,12,0
2235,2236,1762916,68,16,single,rented,no,Geologist,Tinsukia,Assam,5,13,0
118609,118610,4823993,51,6,single,rented,yes,Hotel_Manager,Machilipatnam,Andhra_Pradesh,6,13,0
203522,203523,7984225,26,9,single,rented,no,Geologist,Kharagpur,West_Bengal,9,13,0
120821,120822,6259733,56,19,single,rented,no,Graphic_Designer,Tinsukia,Assam,4,14,0
144740,144741,6767059,53,10,single,rented,no,Magistrate,Dehri[30],Bihar,10,11,0
61968,61969,7613756,41,15,single,rented,no,Official,Malda,West_Bengal,10,13,0
146129,146130,103611,41,16,married,rented,no,Biomedical_Engineer,Aligarh,Uttar_Pradesh,10,14,0
79623,79624,7710970,39,13,single,rented,no,Librarian,Bardhaman,West_Bengal,11,14,0
31297,31298,1969961,51,9,married,rented,yes,Dentist,Amritsar,Punjab,9,12,0
51666,51667,4816881,59,19,single,rented,no,Firefighter,Satna,Madhya_Pradesh,11,10,1
59946,59947,1040029,46,5,single,rented,yes,Software_Developer,Aizawl,Mizoram,5,10,0
43938,43939,7532243,47,2,single,rented,yes,Chef,Mahbubnagar,Telangana,2,12,0
66950,66951,2593784,66,1,single,rented,yes,Official,Muzaffarpur,Bihar,1,11,1
244317,244318,2435710,23,12,single,rented,no,Air_traffic_controller,Akola,Maharashtra,3,13,1
29683,29684,439745,66,4,married,rented,no,Lawyer,Madurai,Tamil_Nadu,4,12,0
157859,157860,6420146,57,19,single,rented,yes,Statistician,Ghaziabad,Uttar_Pradesh,9,13,0
238453,238454,833527,62,6,single,rented,no,Dentist,Jaipur,Rajasthan,6,13,0
138146,138147,6000177,70,1,single,rented,no,Hotel_Manager,Faridabad,Haryana,1,14,0
166935,166936,9029413,72,6,single,rented,yes,Dentist,Kollam,Kerala,6,14,0
222913,222914,9129271,57,7,married,rented,no,Surveyor,Ballia,Uttar_Pradesh,5,11,0
250684,250685,9494634,50,11,single,rented,no,Statistician,Saharanpur,Uttar_Pradesh,11,10,0
35285,35286,1406482,34,7,single,rented,no,Consultant,Madhyamgram,West_Bengal,7,11,0
85747,85748,7708426,42,14,single,rented,no,Industrial_Engineer,Sirsa,Haryana,7,13,0
53326,53327,3448997,53,3,single,rented,no,Drafter,Silchar,Assam,3,12,0
160050,160051,5216436,41,4,single,rented,no,Politician,Khandwa,Madhya_Pradesh,4,12,0
87449,87450,3852642,23,11,single,rented,no,Chef,Ramagundam[27],Telangana,11,12,0
50808,50809,6449400,33,18,single,norent_noown,no,Industrial_Engineer,Bellary,Karnataka,10,10,0
138885,138886,5764547,21,8,single,rented,no,Petroleum_Engineer,Thrissur,Kerala,7,10,0
221719,221720,3318760,32,12,single,rented,no,Architect,Nandyal,Andhra_Pradesh,5,11,0
2778,2779,3640062,37,10,single,rented,no,Design_Engineer,Miryalaguda,Telangana,10,13,0
184455,184456,6922312,40,19,single,rented,yes,Financial_Analyst,Sri_Ganganagar,Rajasthan,14,13,0
230960,230961,5708503,62,4,single,rented,no,Physician,Bahraich,Uttar_Pradesh,4,10,0
211827,211828,5218196,49,12,single,rented,yes,Air_traffic_controller,Guntur[13],Andhra_Pradesh,12,10,0
38201,38202,1988524,50,6,single,rented,no,Surveyor,Jaipur,Rajasthan,6,13,1
13842,13843,5856930,36,19,married,rented,yes,Mechanical_engineer,Miryalaguda,Telangana,11,10,0
73511,73512,2566021,39,17,married,rented,no,Artist,Thane,Maharashtra,3,10,0
105299,105300,2556533,47,14,single,rented,yes,Drafter,Alappuzha,Kerala,3,11,0
215485,215486,4391559,52,6,single,owned,no,Civil_servant,Rewa,Madhya_Pradesh,6,13,0
176824,176825,3293636,74,15,single,rented,yes,Firefighter,Singrauli,Madhya_Pradesh,6,14,0
114447,114448,9083499,77,19,single,rented,no,Psychologist,Ulhasnagar,Maharashtra,13,10,0
189463,189464,976533,48,2,single,rented,no,Statistician,Bardhaman,West_Bengal,2,10,0
127636,127637,228774,60,10,single,rented,yes,Graphic_Designer,Tiruvottiyur,Tamil_Nadu,6,12,0
31563,31564,7176401,22,1,single,rented,no,Secretary,Rourkela,Odisha,1,11,0
164714,164715,601404,47,20,single,rented,no,Petroleum_Engineer,Navi_Mumbai,Maharashtra,8,10,0
208458,208459,801797,45,16,single,rented,no,Firefighter,Nangloi_Jat,Delhi,10,14,0
145996,145997,9507533,32,4,married,rented,no,Lawyer,Satna,Madhya_Pradesh,4,11,0
211379,211380,8976828,58,10,single,rented,yes,Hotel_Manager,Nagercoil,Tamil_Nadu,10,14,1
225002,225003,132646,48,10,single,rented,yes,Biomedical_Engineer,Gangtok,Sikkim,7,14,1
215045,215046,853458,78,19,single,owned,no,Economist,Kanpur,Uttar_Pradesh,12,12,0
174334,174335,2317886,39,15,single,rented,yes,Geologist,Raichur,Karnataka,3,13,0
104608,104609,2300039,36,4,single,rented,no,Civil_servant,New_Delhi,Delhi,3,13,0
17576,17577,8026974,23,20,single,rented,yes,Civil_servant,Chapra,Bihar,11,12,0
8956,8957,9731079,70,1,married,rented,no,Geologist,Rajpur_Sonarpur,West_Bengal,1,13,0
115471,115472,8964405,67,15,single,rented,no,Surgeon,Kavali,Andhra_Pradesh,8,10,0
188615,188616,1464792,65,10,single,owned,no,Technician,Guna,Madhya_Pradesh,10,12,0
92392,92393,6251533,50,16,single,rented,yes,Design_Engineer,Adoni,Andhra_Pradesh,4,11,0
34029,34030,7325901,74,12,single,rented,yes,Magistrate,Khammam,Telangana,12,13,0
29730,29731,7373046,79,18,single,norent_noown,no,Microbiologist,Bhagalpur,Bihar,9,10,0
34983,34984,9388165,29,19,single,rented,no,Economist,Rewa,Madhya_Pradesh,13,11,0
186762,186763,456398,74,17,single,rented,yes,Scientist,Raebareli,Uttar_Pradesh,7,14,0
33547,33548,4915986,45,13,single,rented,yes,Technician,Alwar,Rajasthan,13,14,0
107436,107437,1198501,62,19,single,rented,no,Economist,Hapur,Uttar_Pradesh,13,11,0
171234,171235,8296594,22,13,single,rented,no,Analyst,Jaunpur,Uttar_Pradesh,13,13,1
204656,204657,7736608,47,18,single,rented,yes,Civil_engineer,Kota[6],Rajasthan,3,13,0
98503,98504,3483388,47,6,single,rented,no,Technician,Amroha,Uttar_Pradesh,6,13,0
228411,228412,9432141,29,14,single,rented,no,Chartered_Accountant,Rajpur_Sonarpur,West_Bengal,7,13,0
97111,97112,7990740,62,0,single,rented,no,Surgeon,Unnao,Uttar_Pradesh,0,12,0
19095,19096,9627469,48,17,married,rented,no,Drafter,Alwar,Rajasthan,6,14,0
33242,33243,7098273,67,10,single,rented,no,Chartered_Accountant,Eluru[25],Andhra_Pradesh,3,12,1
38809,38810,3204819,72,13,single,rented,no,Industrial_Engineer,Panihati,West_Bengal,12,14,0
117231,117232,1933767,44,15,single,rented,yes,Analyst,Ballia,Uttar_Pradesh,14,10,0
40102,40103,2248392,46,20,married,rented,yes,Physician,Lucknow,Uttar_Pradesh,13,13,0
83560,83561,2389509,61,15,married,rented,no,Technical_writer,Thane,Maharashtra,10,10,0
248623,248624,5131071,37,3,single,owned,yes,Designer,Pimpri-Chinchwad,Maharashtra,3,14,0
93035,93036,6406640,67,20,single,rented,no,Consultant,Hosur,Tamil_Nadu,8,10,0
151341,151342,4421612,79,20,single,rented,no,Firefighter,Rohtak,Haryana,8,11,0
171512,171513,6117963,51,20,single,rented,yes,Magistrate,Bangalore,Karnataka,10,10,0
65884,65885,968745,56,9,single,rented,no,Army_officer,Madanapalle,Andhra_Pradesh,5,14,0
239437,239438,4163910,49,16,single,rented,no,Flight_attendant,Thrissur,Kerala,9,10,0
181819,181820,4209616,55,8,single,rented,no,Chemical_engineer,Ahmedabad,Gujarat,6,11,0
37659,37660,7722579,70,9,married,rented,no,Design_Engineer,Rajahmundry[19][20],Andhra_Pradesh,9,11,0
116074,116075,3125040,56,12,single,rented,no,Drafter,Sirsa,Haryana,11,13,0
215334,215335,8888670,23,5,single,rented,no,Physician,Jamnagar,Gujarat,5,12,0
115272,115273,7768728,48,2,single,rented,no,Design_Engineer,Barasat,West_Bengal,2,12,0
196233,196234,7756519,56,4,single,rented,no,Lawyer,Jhansi,Uttar_Pradesh,4,14,1
143826,143827,3317412,55,13,single,rented,yes,Hotel_Manager,Kochi,Kerala,13,14,0
162756,162757,1944232,23,20,single,rented,no,Fashion_Designer,Bhalswa_Jahangir_Pur,Delhi,14,13,0
163790,163791,6382273,43,18,single,rented,no,Analyst,Morbi,Gujarat,12,14,0
43645,43646,8079960,53,2,single,rented,no,Army_officer,Purnia[26],Bihar,2,10,1
187789,187790,7121310,53,9,single,rented,no,Drafter,Kadapa[23],Andhra_Pradesh,9,11,0
143420,143421,8753453,52,14,single,rented,no,Geologist,Guntur[13],Andhra_Pradesh,7,11,1
198622,198623,173096,40,13,single,rented,no,Politician,Ahmedabad,Gujarat,3,13,0
328,329,6518572,76,17,single,owned,yes,Technology_specialist,Saharsa[29],Bihar,14,12,0
171473,171474,8615453,67,18,single,rented,yes,Lawyer,Jamnagar,Gujarat,11,14,0
11493,11494,6338889,35,6,single,rented,no,Librarian,Danapur,Bihar,6,14,0
249619,249620,3566105,38,9,single,rented,no,Statistician,Sri_Ganganagar,Rajasthan,9,13,0
114490,114491,3468270,68,12,single,norent_noown,yes,Dentist,Rourkela,Odisha,6,14,0
227889,227890,1307030,40,5,single,norent_noown,yes,Drafter,Kanpur,Uttar_Pradesh,5,10,0
46949,46950,4849926,57,2,single,owned,yes,Industrial_Engineer,Maheshtala,West_Bengal,2,11,0
8881,8882,4251239,79,2,single,rented,no,Analyst,Kurnool[18],Andhra_Pradesh,2,14,0
218499,218500,8764691,54,1,single,rented,yes,Biomedical_Engineer,Bhavnagar,Gujarat,1,11,0
159387,159388,5732142,25,2,single,rented,no,Air_traffic_controller,Davanagere,Karnataka,2,11,0
241532,241533,7886030,71,17,single,rented,no,Surgeon,Katihar,Bihar,10,10,0
189154,189155,8645202,65,9,single,owned,no,Technician,Mango,Jharkhand,9,13,0
181630,181631,9310823,78,4,married,rented,no,Technical_writer,Ongole,Andhra_Pradesh,3,12,0
107857,107858,3976417,51,6,single,rented,no,Official,Shimoga,Karnataka,6,13,0
219284,219285,1041320,47,3,single,rented,no,Police_officer,Thanjavur,Tamil_Nadu,3,12,0
22764,22765,8367421,59,3,single,rented,no,Air_traffic_controller,Dhanbad,Jharkhand,3,11,0
30457,30458,5726991,78,8,single,rented,no,Scientist,Kamarhati,West_Bengal,8,10,0
100443,100444,1600707,39,4,single,rented,no,Designer,Varanasi,Uttar_Pradesh,4,12,0
26356,26357,7770002,25,3,single,owned,yes,Technology_specialist,Ambala,Haryana,3,13,0
981,982,4054318,74,3,single,rented,no,Web_designer,Sangli-Miraj_&_Kupwad,Maharashtra,3,11,0
138701,138702,5148343,23,9,single,rented,no,Architect,Bhiwandi,Maharashtra,8,12,0
62447,62448,158353,54,15,single,rented,no,Lawyer,Hospet,Karnataka,10,14,0
62386,62387,6472266,21,2,single,rented,yes,Mechanical_engineer,Hospet,Karnataka,2,11,0
137756,137757,4244135,30,9,single,rented,no,Librarian,Thanjavur,Tamil_Nadu,9,10,0
43960,43961,7505343,58,15,single,rented,no,Chemical_engineer,Giridih,Jharkhand,4,14,0
56601,56602,8531866,39,12,single,rented,yes,Chartered_Accountant,Aizawl,Mizoram,4,10,0
156898,156899,4406911,45,3,single,rented,yes,Psychologist,Danapur,Bihar,3,14,0
220126,220127,1834744,67,1,married,rented,no,Psychologist,Amroha,Uttar_Pradesh,1,14,0
108602,108603,7462582,72,12,single,rented,no,Chemical_engineer,Belgaum,Karnataka,12,10,0
251805,251806,5605384,28,5,single,rented,yes,Analyst,Alappuzha,Kerala,4,11,0
143433,143434,158353,54,15,single,rented,no,Lawyer,Hospet,Karnataka,10,14,0
191009,191010,270354,21,2,single,rented,no,Mechanical_engineer,Hosur,Tamil_Nadu,2,13,0
74119,74120,8494011,72,20,single,rented,no,Fashion_Designer,Ahmedabad,Gujarat,11,11,0
104634,104635,4089865,71,11,single,rented,no,Computer_hardware_engineer,Ichalkaranji,Maharashtra,7,11,0
167854,167855,5665290,56,4,single,rented,yes,Scientist,Visakhapatnam[4],Andhra_Pradesh,4,13,0
75815,75816,7814930,77,4,single,rented,yes,Surveyor,Haridwar,Uttarakhand,4,14,0
249749,249750,5023492,22,6,single,rented,yes,Designer,Bhopal,Madhya_Pradesh,5,10,0
159517,159518,9069784,44,18,single,rented,no,Drafter,Vellore,Tamil_Nadu,13,11,0
224206,224207,3306694,34,13,single,rented,yes,Surgeon,Kurnool[18],Andhra_Pradesh,7,10,0
7639,7640,4762371,72,18,single,rented,no,Comedian,Medininagar,Jharkhand,5,12,0
5097,5098,2428943,34,18,single,rented,no,Statistician,Alappuzha,Kerala,10,14,0
118846,118847,9724250,67,17,single,rented,yes,Dentist,Bathinda,Punjab,3,13,0
117724,117725,2724690,56,1,single,rented,yes,Civil_servant,"Khora,_Ghaziabad",Uttar_Pradesh,1,12,0
220389,220390,7106724,74,9,single,rented,no,Magistrate,Bhatpara,West_Bengal,9,13,0
111556,111557,3693362,57,15,single,rented,no,Web_designer,Sangli-Miraj_&_Kupwad,Maharashtra,11,10,0
129348,129349,9070646,27,13,single,rented,yes,Graphic_Designer,Imphal,Manipur,13,13,0
77425,77426,926016,37,20,single,rented,no,Microbiologist,Guwahati,Assam,3,14,0
238386,238387,5449096,40,16,single,owned,no,Official,Adoni,Andhra_Pradesh,8,11,0
227789,227790,776715,60,6,married,rented,yes,Architect,Raipur,Chhattisgarh,3,10,0
120533,120534,6971490,58,18,single,rented,no,Chemical_engineer,Bellary,Karnataka,10,13,0
116750,116751,8400754,26,13,single,rented,yes,Comedian,Hindupur,Andhra_Pradesh,13,13,0
130510,130511,8623683,29,13,married,rented,no,Artist,Bhalswa_Jahangir_Pur,Delhi,5,14,0
88997,88998,8700927,41,0,married,rented,no,Technology_specialist,Kurnool[18],Andhra_Pradesh,0,10,0
115459,115460,2874640,50,10,single,rented,no,Web_designer,Vasai-Virar,Maharashtra,9,12,0
78022,78023,5626739,33,3,single,owned,no,Army_officer,Malda,West_Bengal,3,12,0
50924,50925,3092529,49,1,single,rented,no,Fashion_Designer,Kottayam,Kerala,1,10,1
1448,1449,4727668,62,20,single,rented,yes,Drafter,Khandwa,Madhya_Pradesh,7,10,1
25582,25583,2511105,74,16,single,rented,yes,Librarian,Kanpur,Uttar_Pradesh,11,14,0
57418,57419,5497030,35,19,single,owned,no,Petroleum_Engineer,Surat,Gujarat,11,10,0
217076,217077,7970893,63,9,single,rented,no,Scientist,Sonipat,Haryana,9,12,0
200804,200805,4724398,78,6,single,owned,no,Statistician,Belgaum,Karnataka,3,11,0
194868,194869,5736165,57,1,single,rented,no,Engineer,Nagaon,Assam,1,10,0
56954,56955,6510098,42,11,single,rented,no,Technician,Vadodara,Gujarat,11,11,0
205823,205824,6471065,68,10,single,owned,yes,Hotel_Manager,Erode[17],Tamil_Nadu,5,14,0
55972,55973,8925422,72,14,single,rented,yes,Aviator,Meerut,Uttar_Pradesh,6,10,0
117274,117275,512579,48,7,single,rented,yes,Artist,Madurai,Tamil_Nadu,7,11,0
133051,133052,3898559,75,15,single,rented,no,Surgeon,Amaravati,Andhra_Pradesh,5,13,0
159143,159144,6144152,72,18,single,owned,no,Software_Developer,Cuttack,Odisha,13,12,0
233314,233315,1318460,75,1,single,rented,yes,Technology_specialist,Sambhal,Uttar_Pradesh,1,13,0
122033,122034,6670570,77,5,single,rented,no,Computer_hardware_engineer,Parbhani,Maharashtra,4,10,0
144918,144919,7878347,68,6,single,rented,no,Technical_writer,Uluberia,West_Bengal,6,10,0
211928,211929,6564624,56,12,single,rented,no,Economist,Akola,Maharashtra,12,14,0
163344,163345,7767715,59,4,single,rented,no,Air_traffic_controller,Visakhapatnam[4],Andhra_Pradesh,4,14,0
162217,162218,8867807,63,0,single,rented,yes,Scientist,Machilipatnam,Andhra_Pradesh,0,11,0
81917,81918,1259577,66,15,single,rented,no,Economist,Machilipatnam,Andhra_Pradesh,3,10,0
5264,5265,2018380,21,10,single,rented,no,Fashion_Designer,Tirupati[21][22],Andhra_Pradesh,10,10,0
214556,214557,3974596,45,2,single,rented,no,Flight_attendant,Pune,Maharashtra,2,13,0
229794,229795,7981291,66,1,single,rented,yes,Aviator,Durgapur,West_Bengal,1,10,0
123122,123123,8986429,70,9,single,rented,no,Consultant,Muzaffarpur,Bihar,9,12,0
187882,187883,6284059,45,4,single,norent_noown,no,Software_Developer,Ulhasnagar,Maharashtra,4,11,0
12499,12500,1091777,45,19,single,rented,yes,Designer,Saharanpur,Uttar_Pradesh,4,14,0
76090,76091,8145890,48,5,single,rented,yes,Software_Developer,Avadi,Tamil_Nadu,5,11,0
4335,4336,5229178,40,18,single,rented,no,Police_officer,Arrah,Bihar,8,13,0
129802,129803,4736350,38,13,single,rented,no,Microbiologist,Ambala,Haryana,6,13,0
45362,45363,3940320,62,10,single,rented,yes,Financial_Analyst,Kavali,Andhra_Pradesh,9,10,0
116416,116417,3373735,44,4,single,rented,yes,Politician,Bhimavaram,Andhra_Pradesh,4,13,0
186303,186304,66912,27,10,married,rented,no,Software_Developer,Jalandhar,Punjab,10,14,0
102931,102932,5331462,57,20,single,rented,yes,Artist,Mehsana,Gujarat,8,14,0
85156,85157,2588052,79,14,single,rented,no,Petroleum_Engineer,Gaya,Bihar,3,13,0
245920,245921,5991417,37,20,single,rented,no,Biomedical_Engineer,Katihar,Bihar,7,12,1
153054,153055,1950787,53,12,married,rented,no,Technical_writer,Hazaribagh,Jharkhand,7,12,0
179873,179874,3238461,35,16,single,rented,no,Engineer,Thane,Maharashtra,8,13,1
21358,21359,7509186,62,12,single,rented,no,Firefighter,Dehradun,Uttarakhand,4,12,0
65847,65848,9083499,77,19,single,rented,no,Psychologist,Ulhasnagar,Maharashtra,13,10,0
86682,86683,2062343,40,15,married,rented,yes,Aviator,Ballia,Uttar_Pradesh,14,11,0
161512,161513,6620363,45,10,single,rented,no,Scientist,Pudukkottai,Tamil_Nadu,10,12,0
29103,29104,7335666,56,13,single,rented,no,Scientist,Deoghar,Jharkhand,8,12,0
13271,13272,4749978,65,6,single,owned,no,Technology_specialist,Rajahmundry[19][20],Andhra_Pradesh,4,11,0
230117,230118,3975432,22,0,single,rented,no,Police_officer,Panipat,Haryana,0,13,0
161373,161374,9030468,26,14,single,rented,no,Physician,Bhind,Madhya_Pradesh,6,13,0
249437,249438,9940854,52,4,single,rented,no,Fashion_Designer,Gaya,Bihar,4,10,0
156822,156823,9510775,48,3,single,rented,no,Petroleum_Engineer,Jehanabad[38],Bihar,3,14,0
113065,113066,8915216,25,19,single,rented,no,Computer_operator,Bhopal,Madhya_Pradesh,5,10,0
49190,49191,8141031,23,17,single,rented,no,Secretary,Vijayanagaram,Andhra_Pradesh,3,11,0
51114,51115,3274307,41,16,single,rented,yes,Secretary,Panvel,Maharashtra,6,12,0
66,67,4334000,36,4,single,rented,no,Politician,Berhampur,Odisha,4,11,0
152307,152308,9739506,38,19,single,rented,no,Fashion_Designer,Dehri[30],Bihar,13,12,0
27863,27864,1440568,71,0,single,norent_noown,yes,Surgeon,Naihati,West_Bengal,0,12,0
196166,196167,9218490,63,12,single,rented,yes,Designer,Udupi,Karnataka,10,13,1
85159,85160,4130211,40,18,married,rented,yes,Consultant,Durgapur,West_Bengal,4,10,0
86174,86175,6861713,42,5,single,rented,no,Comedian,Chittoor[28],Andhra_Pradesh,5,12,0
115626,115627,9280298,51,3,single,rented,no,Lawyer,Amroha,Uttar_Pradesh,3,10,0
222882,222883,3974347,35,16,single,rented,no,Official,Pudukkottai,Tamil_Nadu,9,14,0
100402,100403,7195430,31,7,single,rented,no,Technician,Chittoor[28],Andhra_Pradesh,7,12,0
61590,61591,277326,45,9,single,rented,no,Economist,Medininagar,Jharkhand,9,13,0
147105,147106,5413710,53,19,single,rented,no,Artist,Ranchi,Jharkhand,12,12,0
72416,72417,9685641,63,5,single,rented,no,Psychologist,Tadipatri,Andhra_Pradesh,5,12,0
34997,34998,4790996,62,16,single,rented,yes,Computer_operator,Motihari[34],Bihar,10,11,0
246780,246781,5286649,46,4,single,rented,no,Chemical_engineer,Sirsa,Haryana,4,14,0
223743,223744,1897290,51,13,single,rented,no,Architect,Latur,Maharashtra,12,13,1
22810,22811,5314421,46,14,single,rented,no,Flight_attendant,Jalandhar,Punjab,8,12,0
140337,140338,5000063,38,17,single,rented,no,Technology_specialist,Yamunanagar,Haryana,5,11,1
117827,117828,1198023,44,7,single,rented,no,Librarian,Kumbakonam,Tamil_Nadu,3,12,0
186745,186746,5091752,66,2,single,rented,no,Chemical_engineer,Bhilwara,Rajasthan,2,11,0
68051,68052,7232098,79,19,single,rented,yes,Financial_Analyst,Jalna,Maharashtra,10,10,0
125468,125469,6466990,37,13,single,rented,no,Technical_writer,Chittoor[28],Andhra_Pradesh,6,14,0
46041,46042,7084312,72,19,single,rented,no,Biomedical_Engineer,Raebareli,Uttar_Pradesh,4,14,0
225463,225464,4736664,47,3,single,rented,yes,Mechanical_engineer,Ahmedabad,Gujarat,3,12,0
95874,95875,508609,34,20,single,rented,no,Flight_attendant,Pimpri-Chinchwad,Maharashtra,9,10,0
113125,113126,5460816,40,16,single,rented,yes,Firefighter,Bathinda,Punjab,13,11,0
217034,217035,6915400,53,12,single,rented,no,Physician,Loni,Uttar_Pradesh,12,12,0
215402,215403,5502824,54,16,single,rented,yes,Civil_servant,Muzaffarnagar,Uttar_Pradesh,12,10,1
70846,70847,5421595,45,4,single,rented,no,Air_traffic_controller,Giridih,Jharkhand,4,12,1
125539,125540,8225744,43,0,married,rented,yes,Technician,Bilaspur,Chhattisgarh,0,11,0
214359,214360,7549491,31,17,single,rented,no,Technician,Saharanpur,Uttar_Pradesh,4,14,0
122506,122507,7848654,55,9,single,rented,no,Software_Developer,Patna,Bihar,9,13,0
156720,156721,5330432,47,2,single,rented,yes,Chemical_engineer,Bidhannagar,West_Bengal,2,10,0
29676,29677,3033225,71,2,single,rented,no,Drafter,Ambarnath,Maharashtra,2,14,0
35333,35334,6247448,43,7,single,rented,no,Economist,Thrissur,Kerala,6,11,0
101234,101235,16890,21,8,married,rented,no,Economist,Farrukhabad,Uttar_Pradesh,7,13,0
135997,135998,9238028,46,19,single,rented,no,Hotel_Manager,Latur,Maharashtra,3,14,0
229977,229978,5833159,49,7,single,rented,no,Comedian,Varanasi,Uttar_Pradesh,7,10,0
43443,43444,4543268,32,17,single,rented,no,Flight_attendant,Tenali,Andhra_Pradesh,3,13,0
14837,14838,6414837,40,3,single,rented,no,Geologist,Thrissur,Kerala,3,14,1
223905,223906,754130,78,6,single,owned,no,Financial_Analyst,Baranagar,West_Bengal,6,10,0
84335,84336,7212880,21,17,single,rented,no,Biomedical_Engineer,Guna,Madhya_Pradesh,13,12,1
169798,169799,3307171,68,2,single,rented,yes,Comedian,"Khora,_Ghaziabad",Uttar_Pradesh,2,14,0
58959,58960,1041253,64,16,single,rented,no,Biomedical_Engineer,Pallavaram,Tamil_Nadu,10,14,0
47681,47682,2359728,66,14,single,rented,no,Industrial_Engineer,Vijayawada,Andhra_Pradesh,3,14,0
33170,33171,267623,32,16,single,rented,no,Lawyer,Tirunelveli,Tamil_Nadu,5,13,0
89952,89953,7234302,31,1,single,rented,no,Chef,Haridwar,Uttarakhand,1,11,0
238234,238235,9471892,39,18,single,owned,no,Surgeon,Nashik,Maharashtra,11,11,0
